Post Date,Post Subtype,Post Type,Avg Likes Per post,Number Of Comments,Number Of Likes,Number Of Posts
22-Apr-23,Career Track Certificate,Visual,0,0,0,2
23-Apr-23,Level,Visual,0.025316456,0,2,79
23-Apr-23,Goal,Visual,0.5,0,32,64
23-Apr-23,Streak,Visual,0.3,0,3,10
23-Apr-23,Collection,Visual,0.1,0,3,30
23-Apr-23,Course Certificate,Visual,0.290322581,0,9,31
23-Apr-23,Career Track Certificate,Visual,1,0,1,1
24-Apr-23,Level,Visual,0,0,0,81
24-Apr-23,Goal,Visual,0.333333333,0,1,3
24-Apr-23,Streak,Visual,0.190476190,0,4,21
24-Apr-23,Collection,Visual,0,0,0,31
24-Apr-23,Course Certificate,Visual,0.242424242,0,8,33
25-Apr-23,Text Post,Text Post,1,2,3,3
25-Apr-23,Level,Visual,0.01,0,1,100
25-Apr-23,Streak,Visual,0.2,0,3,15
25-Apr-23,Collection,Visual,0.041666667,0,1,24
25-Apr-23,Course Certificate,Visual,0.206896552,0,6,29
25-Apr-23,Career Track Certificate,Visual,0,0,0,1
26-Apr-23,Level,Visual,0.0375,1,3,80
26-Apr-23,Streak,Visual,0.166666667,1,3,18
26-Apr-23,Collection,Visual,0.035714286,0,1,28
26-Apr-23,Course Certificate,Visual,0.263157895,0,10,38
27-Apr-23,Level,Visual,0.029126214,0,3,103
27-Apr-23,Streak,Visual,0.105263158,0,2,19
27-Apr-23,Collection,Visual,0.04,1,1,25
27-Apr-23,Course Certificate,Visual,0.113636364,0,5,44
28-Apr-23,Level,Visual,0,0,0,125
28-Apr-23,Streak,Visual,0.15,0,3,20
28-Apr-23,Collection,Visual,0,0,0,42
28-Apr-23,Course Certificate,Visual,0.166666667,0,5,30
28-Apr-23,Career Track Certificate,Visual,1,0,1,1
29-Apr-23,Level,Visual,0.028571429,0,3,105
29-Apr-23,Goal,Visual,0.5,0,4,8
29-Apr-23,Streak,Visual,0.3125,0,5,16
29-Apr-23,Collection,Visual,0,0,0,32
29-Apr-23,Course Certificate,Visual,0.103448276,0,3,29
29-Apr-23,Career Track Certificate,Visual,1,1,1,1
30-Apr-23,Text Post,Text Post,1,0,1,1
30-Apr-23,Level,Visual,0.011764706,0,1,85
30-Apr-23,Goal,Visual,0.583333333,1,35,60
30-Apr-23,Streak,Visual,0.4,0,8,20
30-Apr-23,Collection,Visual,0,0,0,25
30-Apr-23,Course Certificate,Visual,0.4,0,14,35
01-May-23,Level,Visual,0.019607843,2,2,102
01-May-23,Goal,Visual,0.571428571,0,4,7
01-May-23,Streak,Visual,0.333333333,0,5,15
01-May-23,Collection,Visual,0.025641026,0,1,39
01-May-23,Course Certificate,Visual,0.3125,0,10,32
02-May-23,Level,Visual,0.056074766,0,6,107
02-May-23,Streak,Visual,0.230769231,1,3,13
02-May-23,Collection,Visual,0.024390244,0,1,41
02-May-23,Course Certificate,Visual,0.128205128,0,5,39
03-May-23,Level,Visual,0.009708738,0,1,103
03-May-23,Streak,Visual,0.230769231,0,3,13
03-May-23,Collection,Visual,0.027777778,0,1,36
03-May-23,Course Certificate,Visual,0.324324324,0,12,37
04-May-23,Text Post,Text Post,1,1,1,1
04-May-23,Level,Visual,0.038461538,0,4,104
04-May-23,Streak,Visual,0.142857143,0,2,14
04-May-23,Collection,Visual,0.090909091,0,3,33
04-May-23,Course Certificate,Visual,0.407407407,0,11,27
04-May-23,Career Track Certificate,Visual,1,0,1,1
05-May-23,Text Post,Text Post,1,3,3,3
05-May-23,Level,Visual,0.026666667,0,2,75
05-May-23,Streak,Visual,0.125,0,2,16
05-May-23,Collection,Visual,0,0,0,29
05-May-23,Course Certificate,Visual,0.210526316,0,8,38
05-May-23,Career Track Certificate,Visual,0,0,0,2
06-May-23,Text Post,Text Post,1,0,1,1
06-May-23,Level,Visual,0.025316456,2,2,79
06-May-23,Goal,Visual,0.5,0,2,4
06-May-23,Streak,Visual,0.259259259,0,7,27
06-May-23,Collection,Visual,0.04,0,1,25
06-May-23,Course Certificate,Visual,0.222222222,0,6,27
07-May-23,Text Post,Text Post,1,2,3,3
07-May-23,Level,Visual,0.027027027,1,2,74
07-May-23,Goal,Visual,0.637931034,0,37,58
07-May-23,Streak,Visual,0.266666667,0,4,15
07-May-23,Collection,Visual,0,0,0,20
07-May-23,Course Certificate,Visual,0.315789474,0,12,38
07-May-23,Career Track Certificate,Visual,1,0,1,1
08-May-23,Text Post,Text Post,1,1,2,2
08-May-23,Level,Visual,0.056179775,0,5,89
08-May-23,Goal,Visual,0.333333333,0,1,3
08-May-23,Streak,Visual,0.384615385,0,5,13
08-May-23,Collection,Visual,0.071428571,0,2,28
08-May-23,Course Certificate,Visual,0.285714286,0,8,28
09-May-23,Text Post,Text Post,1,1,4,4
09-May-23,Level,Visual,0,0,0,88
09-May-23,Streak,Visual,0,0,0,7
09-May-23,Collection,Visual,0,0,0,24
09-May-23,Course Certificate,Visual,0.131578947,0,5,38
09-May-23,Career Track Certificate,Visual,0,0,0,1
10-May-23,Level,Visual,0.025974026,0,2,77
10-May-23,Streak,Visual,0.5,0,4,8
10-May-23,Collection,Visual,0.045454545,0,1,22
10-May-23,Course Certificate,Visual,0.410256410,0,16,39
10-May-23,Career Track Certificate,Visual,1,1,1,1
11-May-23,Level,Visual,0.008928571,0,1,112
11-May-23,Streak,Visual,0.142857143,0,3,21
11-May-23,Collection,Visual,0,0,0,29
11-May-23,Course Certificate,Visual,0.346938776,0,17,49
12-May-23,Level,Visual,0.009852217,0,2,203
12-May-23,Streak,Visual,0.176470588,0,3,17
12-May-23,Collection,Visual,0,0,0,115
12-May-23,Course Certificate,Visual,0.151515152,0,10,66
12-May-23,Career Track Certificate,Visual,0,0,0,3
13-May-23,Text Post,Text Post,1,0,1,1
13-May-23,Level,Visual,0.006430868,0,2,311
13-May-23,Goal,Visual,0.5,0,1,2
13-May-23,Streak,Visual,0.086956522,0,2,23
13-May-23,Collection,Visual,0.006493506,0,1,154
13-May-23,Course Certificate,Visual,0.014018692,0,3,214
13-May-23,Career Track Certificate,Visual,0.1,1,1,10
14-May-23,Level,Visual,0.013266998,2,8,603
14-May-23,Goal,Visual,0.576271186,0,34,59
14-May-23,Streak,Visual,0.222222222,0,4,18
14-May-23,Collection,Visual,0.005847953,0,2,342
14-May-23,Course Certificate,Visual,0.033112583,0,25,755
14-May-23,Career Track Certificate,Visual,0.370370370,0,10,27
15-May-23,Text Post,Text Post,1,1,1,1
15-May-23,Level,Visual,0.017921147,0,5,279
15-May-23,Goal,Visual,0.333333333,0,1,3
15-May-23,Streak,Visual,0.2,0,3,15
15-May-23,Collection,Visual,0,0,0,101
15-May-23,Course Certificate,Visual,0.315972222,0,91,288
15-May-23,Career Track Certificate,Visual,0,0,0,5
16-May-23,Text Post,Text Post,1,0,1,1
16-May-23,Level,Visual,0.024193548,1,3,124
16-May-23,Streak,Visual,0.368421053,0,7,19
16-May-23,Collection,Visual,0,0,0,36
16-May-23,Course Certificate,Visual,0.159090909,0,7,44
16-May-23,Career Track Certificate,Visual,0,0,0,3
17-May-23,Text Post,Text Post,1,0,1,1
17-May-23,Level,Visual,0.027027027,1,3,111
17-May-23,Streak,Visual,0.2,0,3,15
17-May-23,Collection,Visual,0.046511628,0,2,43
17-May-23,Course Certificate,Visual,0.166666667,0,4,24
18-May-23,Text Post,Text Post,0,1,0,1
18-May-23,Level,Visual,0.026548673,0,3,113
18-May-23,Streak,Visual,0.3125,0,5,16
18-May-23,Collection,Visual,0.020408163,0,1,49
18-May-23,Course Certificate,Visual,0.2,0,7,35
18-May-23,Career Track Certificate,Visual,1,0,1,1
19-May-23,Text Post,Text Post,1,1,1,1
19-May-23,Level,Visual,0.018867925,0,2,106
19-May-23,Streak,Visual,0.058823529,0,1,17
19-May-23,Collection,Visual,0.027777778,0,1,36
19-May-23,Course Certificate,Visual,0.085106383,0,4,47
19-May-23,Career Track Certificate,Visual,1,0,1,1
20-May-23,Text Post,Text Post,1,2,2,2
20-May-23,Level,Visual,0.035294118,0,3,85
20-May-23,Goal,Visual,0.2,0,1,5
20-May-23,Streak,Visual,0.090909091,0,2,22
20-May-23,Collection,Visual,0.023255814,0,1,43
20-May-23,Course Certificate,Visual,0.230769231,0,6,26
21-May-23,Level,Visual,0.025641026,0,2,78
21-May-23,Goal,Visual,0.586206897,0,34,58
21-May-23,Streak,Visual,0.2,0,3,15
21-May-23,Collection,Visual,0.071428571,0,2,28
21-May-23,Course Certificate,Visual,0.290322581,0,9,31
22-May-23,Text Post,Text Post,1,1,1,1
22-May-23,Level,Visual,0.027027027,0,3,111
22-May-23,Goal,Visual,0.25,0,1,4
22-May-23,Streak,Visual,0.142857143,0,2,14
22-May-23,Collection,Visual,0.057142857,0,2,35
22-May-23,Course Certificate,Visual,0.138888889,0,5,36
23-May-23,Text Post,Text Post,1,1,1,1
23-May-23,Level,Visual,0.016393443,0,1,61
23-May-23,Streak,Visual,0.444444444,0,8,18
23-May-23,Collection,Visual,0.029411765,0,1,34
23-May-23,Course Certificate,Visual,0.176470588,0,6,34
24-May-23,Level,Visual,0.080645161,1,5,62
24-May-23,Streak,Visual,0.235294118,0,4,17
24-May-23,Collection,Visual,0,0,0,26
24-May-23,Course Certificate,Visual,0.114285714,0,4,35
25-May-23,Text Post,Text Post,1,1,2,2
25-May-23,Level,Visual,0,0,0,88
25-May-23,Streak,Visual,0,0,0,12
25-May-23,Collection,Visual,0.083333333,0,2,24
25-May-23,Course Certificate,Visual,0.176470588,0,6,34
26-May-23,Text Post,Text Post,1,2,2,2
26-May-23,Level,Visual,0.026315789,0,2,76
26-May-23,Streak,Visual,0.333333333,1,5,15
26-May-23,Collection,Visual,0,0,0,30
26-May-23,Course Certificate,Visual,0.178571429,0,5,28
